"Official_country","Cost_ID","InvaCost_ID","Repository","Reference_ID","Reference_title","Authors","Abstract","Publication_year","Language","Type_of_material","Previous_materials","Availability","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Common_name","Environment","Environment_IAS","HabitatVerbatim","Habitat","urbanArea","protectedArea","Island","Geographic_region","State.Province.Administrative_area","Location","Spatial_scale","Period_of_estimation","Time_range","Probable_starting_year","Probable_ending_year","Probable_starting_year_adjusted","Probable_ending_year_adjusted","Occurrence","Raw_cost_estimate_original_currency","Min_Raw_cost_estimate_original_currency","Max_Raw_cost_estimate_original_currency","Raw_cost_estimate_2017_USD_exchange_rate","Raw_cost_estimate_2017_USD_PPP","Cost_estimate_per_year_original_currency","Cost_estimate_per_year_2017_USD_exchange_rate","Cost_estimate_per_year_2017_USD_PPP","Currency","Applicable_year","Type_of_applicable_year","Implementation","Acquisition_method","Impacted_sector","Type_of_cost","Type_of_cost_merged","Management_type","Method_reliability","Method_reliability_refined","Method_reliability_Explanation","Method_reliability_Expert_Name","Overlap","Benefit_value.s.","Details","Initial.contributors_names","Double.checking","cost","cost_bil","cost_mil","Population_2019","Surface_area_km2","Density_2019","GDP_2019","Neighbouring_countries","Km_land_borders","log.cost","Agri_forest_fish_perc_gdp","Industry_perc_gdp","Manufacturing_perc_gdp","Services_perc_gdp","Forest_rents_perc_gdp","Forest_area_perc_landarea","Health_expend_perc_gdp"
"Austria","SC1467","IC_2.1_6557","GS","Bullock2012","Assessing and controlling the spread and the effects of common ragweed in Europe","Bullock et al",NA,2012,"English","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia",NA,"common ragweed","Terrestrial","Terrestrial",NA,NA,"other","N","N","Europe",NA,"Austria","Country","Unspecified/Yearly","Year",2011,NA,2011,2011,"Potentially ongoing",9400000,NA,NA,14258244.4342569,12320954.1938605,9400000,14258244.4342569,12320954.1938605,"EUR",2011,"Effective","Observed","Extrapolation","Health","Damage-Loss","Damage",NA,"High",NA,NA,NA,NA,"no","Impacts were assessed based on workers who suffer additional allergenic symptoms due to ragweed losing 1.5% of their work productivity, valued according to their national average Gross Value Added per worker.","Marina Golivets","No",14258244.4342569,0.0142582444342569,14.2582444342569,8877067,83879.00391,105.83,4.46e+11,8,2562,16.4728458541694,1.1,25.1,16.5,63.2,0.1,47.2,10.4
"Austria","SC1574","IC_2.1_6637","GS","Bullock2012","Assessing and controlling the spread and the effects of common ragweed in Europe","Bullock et al",NA,2012,"English","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia",NA,"common ragweed","Terrestrial","Terrestrial",NA,NA,"other","N","N","Europe",NA,"Austria","Country","Unspecified/Yearly","Year",2011,NA,2011,2011,"Potentially ongoing",17800000,NA,NA,26999654.3542312,23331168.5798634,17800000,26999654.3542312,23331168.5798634,"EUR",2011,"Effective","Observed","Extrapolation","Health","Damage-Loss","Damage",NA,"High",NA,NA,NA,NA,"no","Impacts were assessed for the probability‐adjusted human population exposed to ragweed pollen. Costs were calculated in relation to increased costs of medication (assumed to be €303 yr‐1) and of staff time to give treatment (with costs based on countries wage rates for nurses and doctors assuming 1 hr of additional consultation and treatment time per affected individual).","Marina Golivets","No",26999654.3542312,0.0269996543542312,26.9996543542312,8877067,83879.00391,105.83,4.46e+11,8,2562,17.1113346221915,1.1,25.1,16.5,63.2,0.1,47.2,10.4
"Austria","1158","IC_1.0_1093","TC","405","Managing invasive populations of Asian longhorned beetle and citrus longhorned beetle: A worldwide perspective","Haack et al",NA,2010,"English","Peer-reviewed article","Barlow, L. A., Cecile, J., Bauch, C. T., & Anand, M. (2014). Modelling interactions between forest pest invasions and human decisions regarding firewood transport restrictions. PLoS ONE, 9(4). https://doi.org/10.1371/journal.pone.0090512","Yes","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Anoplophora","Anoplophora glabripennis",NA,"Asian long-horned beetle","Terrestrial","Terrestrial",NA,NA,"other",NA,NA,"Europe",NA,"Diverse/Unspecified","Country","2001-2008","Period",2001,2008,2001,2008,"One-time",464000,NA,NA,690806.056656784,468036.95824287,58000,86350.7570820981,58504.6197803588,"EUR",2010,"Publication year","Observed","Report/Estimation","Authorities-Stakeholders","Eradication","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Eradication costs. Ongoing. Summary data supplied by federal agencies in each infested country.","Christophe Diagne/Claire Assailly/Lise Nuninger","Yes",86350.7570820981,8.63507570820981e-05,0.0863507570820981,8877067,83879.00391,105.83,4.46e+11,8,2562,11.3661728511345,1.1,25.1,16.5,63.2,0.1,47.2,10.4
"Austria","SC1763","IC_2.1_6790","GS","Bullock2012","Assessing and controlling the spread and the effects of common ragweed in Europe","Bullock et al",NA,2012,"English","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia",NA,"common ragweed","Terrestrial","Terrestrial","arable land","12b","other","N","N","Europe",NA,"Austria","Country","Unspecified/Yearly","Year",2011,NA,2011,2011,"Potentially ongoing",5.6e+07,NA,NA,84942732.7998284,73401429.2400197,5.6e+07,84942732.7998284,73401429.2400197,"EUR",2011,"Effective","Observed","Extrapolation","Agriculture","Damage-Loss","Damage",NA,"High",NA,NA,NA,NA,"no","Impacts were assessed for the probability‐adjusted area of cropland subject to invasion by ragweed. Costs were calculated for residual loss of crop yields (assuming a 25% loss of crop yield for crops invaded by ragweed)","Marina Golivets","No",84942732.7998284,0.0849427327998284,84.9427327998284,8877067,83879.00391,105.83,4.46e+11,8,2562,18.2574878556286,1.1,25.1,16.5,63.2,0.1,47.2,10.4
"Belgium","NE4738","IC_2.1_4722","Gs","NL17","Beheer van de stierkikker in Vlaanderen en Nederland","Devisscher et al",NA,2012,"Dutch","Official report",NA,"Yes","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus",NA,"Bullfrog","Aquatic/Terrestrial","Semi-aquatic",NA,NA,"other","N","N","Europe",NA,"Vlaanderen","Site","2010-2012","Period",2010,2012,2010,2012,"One-time",85000,NA,NA,116591.8671625,110380.501963963,28333.3333333333,38863.9557208333,36793.5006546544,"EUR",2012,"Publication year","Observed","Report/Estimation","Authorities-Stakeholders","Eradication","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","See Table 6 in report; Eradication at 6 sites. (the cost is for a region in Belgium)","Laura Verbrugge/Phillip Haubrock/Elena Angulo/Nigel Taylor/Christophe Diagne","Yes",38863.9557208333,3.88639557208333e-05,0.0388639557208333,11484055,30530,376.16,5.3e+11,4,1385,10.567822511905,0.7,19.2,12.3,69.4,0,22.8,10.7
"Belgium","753","IC_1.0_722","WoS","6933","Control of invasive American bullfrog Lithobates catesbeianus in small shallow water bodies","Louette et al",NA,2013,"English","Peer-reviewed article",NA,"Yes","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus",NA,"Bullfrog","Aquatic/Terrestrial","Semi-aquatic",NA,NA,"other",NA,NA,"Europe",NA,NA,"other","Summer 2011","Year",2011,2011,2011,2011,"One-time",4029,1848,6210,5628.75806053705,3960.60611822983,4029,5628.75806053705,3960.60611822983,"EUR",2013,"Publication year","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","The authors predicted the time needed and the monetary cost involved in depleting a bullfrog tadpole population in a given water body (assuming no further reproduction) at the end of the summer using various catch intensities. They considered three different intensity levels of removal for two contrasting starting abundances (a low population abundance of 1,000 tadpoles and a high population abundance of 5,000 tadpoles) and different intensities of fyke nets at each catch effort (total cost covered staff time of two collaborators (transport to a given pond and actual field work) and depreciation of equipment): two double fyke nets with a total cost of 138 € per catch effort, five double fyke nets (308 €/catch effort) and eight double fyke nets (478 €/catch effort).","Christophe Diagne/Claire Assailly/Lise Nuninger/Elena Angulo/Nigel Taylor/Liliana Ballesteros-Mejia","Yes",5628.75806053705,5.62875806053705e-06,0.00562875806053705,11484055,30530,376.16,5.3e+11,4,1385,8.63564410364443,0.7,19.2,12.3,69.4,0,22.8,10.7
"Belgium","NE4736","IC_2.1_4720","Gs","NL15","Pallas’ eekhoorn


uitgeroeid in Dadizele


(West-Vlaanderen)","Adriaens et al","In 2005, bark stripping and cable gnawing were observed in a suburban park in western Flanders (northern Belgium). The damage was linked to the occurrence of Pallas’s squirrels (Callosciurus erythraeus), a tree squirrel native to Asia. The population most


probably originated from escaped animals of an abandoned zoo in the nearby amusement park. Pallas’s squirrel can reach high


densities and outcompete native red squirrels. To avoid further damage to ornamental trees in the Flanders park, the park manager


decided to start trapping. Low-tech mesh wire live traps were placed near the trunks of large trees, baited with peanuts, walnuts or hazelnuts. Traps were checked daily in order to minimize detention time and impact on bycatch. Digital photo traps were installed to check for remaining squirrels. During five successive capture campaigns, the number of animals removed increased to 248 in total, and by 2011, the last known animal was removed. Although the control started relatively quickly and the extent of the invasion was limited, the campaign still took over five years and required an investment of over € 200,000 including 18 months of post-eradication surveying.",2017,"Dutch","Peer-reviewed article",NA,"Yes","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Callosciurus","Callosciurus erythraeus",NA,"Pallas squirrel","Terrestrial","Terrestrial","park with trees","3","other","N","N","Europe",NA,"Dadizele


(West-Vlaanderen)","Site","2005-2011","Period",2005,2011,2005,2011,"One-time",2e+05,NA,NA,225936.235294118,255965.598223599,28571.4285714286,32276.6050420169,36566.5140319427,"EUR",2017,"Publication year","Observed","Report/Estimation","Authorities-Stakeholders","Eradication/Monitoring","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Although the control started relatively quickly and the extent of the invasion was limited, the campaign still took over five years and required an investment of over € 200,000 including 18 months of post-eradication surveying. See also English publication: https://link.springer.com/article/10.1007/s10530-015-0898-z/tables/2","Laura Verbrugge/Phillip Haubrock","Yes",32276.6050420169,3.22766050420169e-05,0.0322766050420169,11484055,30530,376.16,5.3e+11,4,1385,10.3820979446725,0.7,19.2,12.3,69.4,0,22.8,10.7
"Belgium","NE4735","IC_2.1_4719","Go","NL14","Eindrapport van de Invexo-casus


„Grote waternavel en andere invasieve (water)planten‟


Eindrapport van de Invexo-casus Grote waternavel en andere invasieve (water)planten


","INVEXO",NA,2013,"Dutch","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","Impatiens","Impatiens glandulifera",NA,"Himalayan balsam","Terrestrial","Terrestrial","park with trees","3","other","N","N","Europe",NA,"Bellebeek and de Zwalm in Vlaanderen","Site","2012","Year",2012,2012,2012,2012,"Potentially ongoing",65000,NA,NA,90834.7701755606,84838.1067614432,65000,90834.7701755606,84838.1067614432,"EUR",2013,"Publication year","Observed","Report/Estimation","Authorities-Stakeholders","Eradication","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Yearly costs for eradication at two sites (of 6km and 9km) in the first year of eradication.","Laura Verbrugge/Phillip Haubrock","Yes",90834.7701755606,9.08347701755606e-05,0.0908347701755606,11484055,30530,376.16,5.3e+11,4,1385,11.4167974227388,0.7,19.2,12.3,69.4,0,22.8,10.7
"Belgium","SC767","IC_2.1_5937",NA,"Brundu2014","Plant invaders in European and Mediterranean inland waters: profiles, distribution, and threats","Brundu, G.","The present brief and selective review


focuses on a set of invasive alien aquatic plant species


(notably the 21 listed by the European and Mediterranean


Plant ProtectionOrganisation, i.e., five A2 species,


11 invasive, 2 in the Observation List, 1 in the Alert List,


2 noteworthy), on definitions in use, on introduction


pathways, and ecological effects, although the social


and economic effects of freshwater invaders can be


diverse and substantial. Legislation, literature, and


scientific research dealing with plant invasions in inland


waters often merge different types of invasive plant


species and invaded habitats, as there are some


overlappings between the concepts of macrophyte,


aquatic plants, inland waters, wetlands, and riparian


habitats. Freshwater ecosystems may well be the most


endangered ecosystems in the world. Countless aquatic


plants have been introduced in Europe and in the


Mediterranean region, either deliberately because they


were thought to be ornamental or otherwise desirable, or


accidentally as releases from aquaria, dumping from


water gardens, or contaminants. The escape of alien


plants from managed environments is also frequent.


Aquatic invaders have strong negative impacts on native


biodiversity and many different impacts are reported in


the literature for Europe and worldwide. Plant invasions


in inlandwatersmay be considered as one of a syndrome


of factors that characterize degraded aquatic ecosystems.


There are a number of risk analysis, impact


assessment, ranking systems, decision trees, and prioritization


methods available throughout Europe and the


EPPO region, but the lack of a common framework for


assessing the risks posed by invasive alien aquatic


species is seen as a key gap. Successful management


should include prevention, habitat restoration, dedicated


risk assessment, prioritization, awareness raising, dedicated


legislation, collaboration between different


stakeholders, development of codes of conduct with


the horticultural sector, and prohibiting the sale,


purchase, and intentional release of some species in


the wild. Actions to protect the European and Mediterranean


inland waters from plants invasions are urgently


needed and could provide overarching benefits.",2015,"English","Peer-reviewed article",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia","Ludwigia grandiflora",NA,"water primrose","Aquatic","Aquatic",NA,"11","other","N","N","Europe",NA,"Belgium","other","2006","Year",2006,2006,2006,2006,"One-time",126000,NA,NA,192365.364396477,175057.242713536,126000,192365.364396477,175057.242713536,"EUR",2006,"Effective","Observed","Report/Estimation","Authorities-Stakeholders","Control","Management","Post-invasion_management","High",NA,NA,NA,NA,"yes","In Belgium, sums


of 140,000 and 126,000 euros were, respectively,


spent in 2005 and 2006 to clear 25 ha invaded with L.


grandiflora (De Bruyn et al., 2007).","Ross Cuthbert","No",192365.364396477,0.000192365364396477,0.192365364396477,11484055,30530,376.16,5.3e+11,4,1385,12.1671517822791,0.7,19.2,12.3,69.4,0,22.8,10.7
"Belgium","NE4729","IC_2.1_4713","Go","NL11","Technisch Vademecum: Beheer van Invasieve Uitheemse Planten","Agentschap voor Natuur en Bos",NA,2014,"Dutch","Official report",NA,"Yes","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus serotina",NA,"Black cherry","Terrestrial","Terrestrial",NA,NA,"other","N","N","Europe",NA,"Vlaanderen","Site","1994-2010","Period",1994,2010,1994,2010,"One-time",4600000,NA,NA,6327512.99116246,5952029.63820336,270588.235294118,372206.646538968,350119.390482551,"EUR",2014,"Publication year","Observed","Report/Estimation","Authorities-Stakeholders","Eradication","Management","Post-invasion_management","High",NA,NA,NA,NA,"no","Between 1994 and 2010, 4.6 million euros were spent on the eradication of Black cherry in 7.253 ha of forests and nature reserves in Flanders, Belgium.","Laura Verbrugge/Phillip Haubrock","Yes",372206.646538968,0.000372206646538968,0.372206646538968,11484055,30530,376.16,5.3e+11,4,1385,12.8272044804703,0.7,19.2,12.3,69.4,0,22.8,10.7
