"Species","Impacted_sector","Type_of_cost_merged","Official_country","Location","Taxon","ScientificName","genus","Population_2019","Surface_area_km2","Density_2019","GDP_2019","Neighbouring_countries","Km_land_borders","Agri_forest_fish_perc_gdp","Industry_perc_gdp","Manufacturing_perc_gdp","Services_perc_gdp","Forest_rents_perc_gdp","Forest_area_perc_landarea","Health_expend_perc_gdp"
"Aedes albopictus","Authorities-Stakeholders","Management","Belgium","Belgium","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",11484055,30530,376.16,5.3e+11,4,1385,0.7,19.2,12.3,69.4,0,22.8,10.7
"Aedes albopictus","Authorities-Stakeholders","Management","Italy","Italy","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Aedes albopictus","Authorities-Stakeholders","Management","Bulgaria","Bulgaria","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",6975761,111000,62.84,67927179737,5,1808,3.2,21.7,NA,61.4,0.2,35.7,7.1
"Aedes albopictus","Authorities-Stakeholders","Management","Malta","Malta","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",502653,320,1570.79,14786156563,0,0,0.5,12.5,7.1,76.4,0,1.4,8.2
"Aedes albopictus","Authorities-Stakeholders","Management","Italy","Italy","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",60297396,301340,200.1,2e+12,5,1932,1.9,21.5,14.9,66.3,0,32.2,8.7
"Aedes albopictus","Authorities-Stakeholders","Management","Portugal","Portugal","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",10269417,92225.5957,111.35,2.38e+11,1,1214,2.1,18.8,11.9,65.6,0.1,36.2,9.5
"Aedes albopictus","Authorities-Stakeholders","Management","Spain","Spain","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",47076781,505935,93.05,1.39e+12,5,1918,2.6,20.1,11,67.9,0,37.2,9.1
"Aedes albopictus","Authorities-Stakeholders","Management","France","France","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",67059887,549086.9922,122.13,2.72e+12,8,2889,1.5,17.4,10,70,0,31.4,11.1
"Aedes albopictus","Authorities-Stakeholders","Management","Netherlands","Netherlands","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",17332850,41540,417.26,9.09e+11,2,1027,1.6,17.6,10.8,70,0,10.9,10.1
"Aedes albopictus","Authorities-Stakeholders","Management","Liechtenstein","Liechtenstein","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",38019,160,237.62,6552858739,2,76,0.1,44.2,38.7,52.2,0,41.9,NA
"Aedes albopictus","Authorities-Stakeholders","Management","Slovenia","Slovenia","Aedes albopictus","Aedes albopictus (Skuse, 1894)","Aedes",2087946,20675,100.99,53742159517,4,1334,2,29,20.7,56.6,0.2,61.6,8.5
