Location,Taxon,ScientificName
Andorra,Acanthoscelides obtectus,"Acanthoscelides obtectus (Say, 1831)"
Andorra,Bruchus pisorum,"Bruchus pisorum Linnaeus, 1758"
Andorra,Bruchus rufimanus,"Bruchus rufimanus Boheman, 1833"
Andorra,Buddleja davidii,Buddleja davidii Franch.
Andorra,Callosobruchus chinensis,"Callosobruchus chinensis (Linnaeus, 1758)"
Andorra,Columba livia,"Columba livia J.F.Gmelin, 1789"
Andorra,Dama dama,"Dama dama (Linnaeus, 1758)"
Andorra,Entoleuca mammata,Entoleuca mammata (Wahlenb.) J.D.Rogers & Y.M.Ju
Andorra,Equisetum palustre,Equisetum palustre L.
Andorra,Genetta genetta,"Genetta genetta (Linnaeus, 1758)"
Andorra,Hypoponera punctatissima,"Hypoponera punctatissima (Roger, 1859)"
Andorra,Impatiens balfourii,Impatiens balfourii Hook.fil.
Andorra,Lasius neglectus,"Lasius neglectus Van Loon, Boomsma & Andrasfalvy, 1990"
Andorra,Leptinotarsa decemlineata,"Leptinotarsa decemlineata (Say, 1824)"
Andorra,Marmota marmota,"Marmota marmota (Linnaeus, 1758)"
Andorra,Monochamus sutor,"Monochamus sutor (Linnaeus, 1758)"
Andorra,Mustela vison,"Mustela vison Schreber, 1777"
Andorra,Ondatra zibethicus,"Ondatra zibethicus (Linnaeus, 1766)"
Andorra,Ovis aries,"Ovis aries Linnaeus, 1758"
Andorra,Pentarthrum confine,"Pentarthrum confine Broun, 1881"
Andorra,Perdix perdix,"Perdix perdix (Linnaeus, 1758)"
Andorra,Phasianus colchicus,"Phasianus colchicus Linnaeus, 1758"
Andorra,Pseudoperonospora cubensis,Pseudoperonospora cubensis (Berk. & M.A.Curtis) Rostovzev
Andorra,Senecio inaequidens,Senecio inaequidens DC.
Andorra,Trachyopella straminea,"Trachyopella straminea Roháček & Marshall, 1985"
Austria,Abutilon theophrasti,Abutilon theophrasti Medik.
Austria,Acaena microphylla,Acaena microphylla Hook.fil.
Austria,Acanthocinus carinulatus,"Acanthocinus carinulatus (Gebler, 1833)"
Austria,Acanthoscelides obtectus,"Acanthoscelides obtectus (Say, 1831)"
Austria,Acer monspessulanum,Acer monspessulanum L.
Austria,Acer negundo,Acer negundo L.
Austria,Acer saccharum,Acer saccharum Marshall
Austria,Acheta domesticus,"Acheta domesticus (Linnaeus, 1758)"
Austria,Acorus calamus,Acorus calamus L.
Austria,Acorus gramineus,Acorus gramineus Aiton
Austria,Acridotheres cristatellus,"Acridotheres cristatellus (Linnaeus, 1758)"
Austria,Acrotona pseudotenera,"Acrotona pseudotenera (Cameron, 1933)"
Austria,Acrotrichis cognata,"Acrotrichis cognata (A.Matthews, 1877)"
Austria,Acrotrichis insularis,"Acrotrichis insularis (Mäklin, 1852)"
Austria,Actinidia chinensis,Actinidia chinensis Planch.
Austria,Acyrthosiphon caraganae,"Acyrthosiphon caraganae (Cholodkovsky, 1907)"
Austria,Acyrthosiphon pisum,"Acyrthosiphon pisum (M.Harris, 1776)"
Austria,Adelges cooleyi,"Adelges cooleyi (Gillette, 1907)"
Austria,Adelges nordmannianae,"Adelges nordmannianae (Eckstein, 1890)"
Austria,Adonis annua,Adonis annua L.
Austria,Aesculus hippocastanum,Aesculus hippocastanum L.
